stock1,stock2,correlation,abs_correlation,p_value,ci_lower,ci_upper,bootstrap_ci_lower,bootstrap_ci_upper,monte_carlo_p_value,sample_size,lag_days,method,is_significant,strength,adjusted_p_value,is_significant_adjusted,time_horizon,lag_period,horizon_lag_combo
DHR,INCY,0.9603012646122232,0.9603012646122232,0.0,0.9572262071239384,0.9631594138159272,0.04717808143345222,0.9916210818588905,0.0,2651,48,pearson,True,Very Strong,0.0,True,365,48,365d_lag48
GILD,TAK,0.9526938835748435,0.9526938835748435,0.0,0.948784802183164,0.9563112870339459,0.949346608824804,0.9938064047683726,0.0,2322,12,pearson,True,Very Strong,0.0,True,730,12,730d_lag12
ABT,RARE,0.9383438546554407,0.9383438546554407,0.0,0.9332962645750196,0.9430207419888079,0.920752703074609,0.994676363871301,0.0,2328,6,pearson,True,Very Strong,0.0,True,730,6,730d_lag6
ABT,ZBH,0.9332501849443179,0.9332501849443179,0.0,0.9277493035435693,0.9383456458421573,0.8844421172559888,0.9882238001212976,0.0,2286,48,pearson,True,Very Strong,0.0,True,730,48,730d_lag48
ZBH,MTD,-0.9195800291649632,0.9195800291649632,0.0,-0.9256256216371511,-0.9130652007829373,-0.9854948173190421,0.9825443288196175,0.0,2328,6,pearson,True,Very Strong,0.0,True,730,6,730d_lag6
CI,TMO,0.874963742379518,0.874963742379518,0.0,0.8663162036182885,0.8830869436139374,-0.00463465822020492,0.9793895424683932,0.0,3009,48,pearson,True,Very Strong,0.0,True,7,48,7d_lag48
ILMN,IONS,0.8656201297754885,0.8656201297754885,0.0,0.8550499261767838,0.8754712660006796,0.8134490835408876,0.9937752669109822,0.0,2322,12,pearson,True,Very Strong,0.0,True,730,12,730d_lag12
BMY,IONS,0.8528197883718419,0.8528197883718419,0.0,0.8412349416751471,0.8636219187858349,0.11544169696503985,0.9912067662866846,0.0,2286,48,pearson,True,Very Strong,0.0,True,730,48,730d_lag48
WST,RARE,0.7878291450960514,0.7878291450960514,0.0,0.7737392506720459,0.8011399923769404,0.17000705004523337,0.9627069335432042,0.0,2950,24,pearson,True,Strong,0.0,True,90,24,90d_lag24
IQV,RARE,0.7722605009828512,0.7722605009828512,0.0,0.7574843766613031,0.7862458350989149,0.12135076598327152,0.9380190468645583,0.0,3031,3,pearson,True,Strong,0.0,True,30,3,30d_lag3
